hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
2MASS J01225093-2439505,,3309,0.37,0.35,,-1.838,4.86,,10.1187,,
2MASS J02192210-3925225,,3381.67,,,,,,,,,
2MASS J02192210-3925225,,2873,0.27,0.24,,-2.357,4.96,,17.6708,,
2MASS J02192210-3925225,M6,3064,0.28,0.11,,-2.23,4.59,0.035,,6.5,
2MASS J0249-0557 A,M6 V,,,0.05,,-2.59,,0.022,,,
2MASS J0249-0557 A,,2859,0.32,0.29,,-2.221,4.91,,13.1812,,
2MASS J0249-0557 B,M6 V,,,0.04,,-2.64,,0.022,,,
2MASS J03590986+2009361,,2943,0.29,0.26,,-2.246,4.94,,15.3539,,
2MASS J04372171+2651014,M V,3100,0.84,0.17,0.01,-1.164,4.5,0.003,,22.54,1.84
2MASS J04372171+2651014,,3243,0.64,0.62,,-1.388,4.62,,3.3202,,
2MASS J04414489+2301513,,2936,0.23,0.2,,-2.444,5.01,,22.7811,,
2MASS J04414489+2301513,M8.5,,,0.02,,,,0.001,,,
2MASS J11011926-7732383,,,,,,,,,,,
2MASS J11550485-7919108,,3021,0.6,0.59,,-1.568,4.65,,3.8321,,
2MASS J12073346-3932539,,2825,0.22,0.19,,-2.561,5.03,,25.2795,,
2MASS J12073346-3932539,M8 V,,,,,,,,,,
2MASS J12073346-3932539,M8,,,0.02,,,,0.008,,,
2MASS J12073346-3932539,,,,,,,,15,,,
2MASS J19383260+4603591,,10645,2.88,,-0.092,,3.91,,,,
2MASS J19383260+4603591,,29564,0.2,0.48,,,5.51,,,,
2MASS J19383260+4603591,,,,0.48,,,,,,,
2MASS J19383260+4603591 Ab,,2829,0.17,0.12,,,5.07,,,,
2MASS J19383260+4603591,,8868.67,,,,,,,,,
2MASS J19383260+4603591,,10868,0.34,,,,,,,,
2MASS J21252752-8138278,,3592,0.67,0.64,,-1.168,4.59,,2.9807,,
2MASS J22362452+4751425,,4085,0.62,,,-1.021,,,,,
2MASS J22362452+4751425,K7 V,4045,,0.6,,,,0.12,,,
2MASS J22362452+4751425,,4033,0.64,0.63,,-1.009,4.62,,3.3699,,
30 Ari B,F6 V,6300,1.13,1.16,0.245,,4.5,0.91,,38.3,
30 Ari A,,6695,1.51,1.42,,0.617,4.23,,0.5788,,
30 Ari B,F5,,,,,,,,,,
30 Ari B,,6211.27,1.34,,,0.381,,,,,
30 Ari B,,6252.09,1.32,1.21,0.12,0.379,4.28,,0.743,,
30 Ari B,,,,1.11,,,,,,,
30 Ari B B,,,,,,,,,,,
30 Ari A,F5,,,,,,,,,,
30 Ari B,,,1.13,1.16,,,,,,,
