hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
HD 30562,,5882,1.61,1.12,0.2,,4.07,,,,
HD 30562,,,,,,,,,,,
HD 30562,,,,,,,,,,,
HD 30562,G2 IV,5861,,1.22,0.243,,4.09,,,,
HD 30562,G0,,,,,,,,,,
HD 30562,,,1.58,1.28,,,4.16,4,,,
HD 30562,,5880,1.65,,,0.465,,,,,
HD 30562,F8 V,5994,1.53,1.23,0.29,,4.34,3.6,,4.1,
HD 30562,,,,,,,,,,4,
HD 30562,,5872.3,1.64,1.06,0.227,0.458,4.04,,0.3412,,
HD 30562,,,,,,,,,,4.3,
HD 30669,,5386,0.97,,,-0.146,,,,,
HD 30669,,5424.91,0.95,0.94,0.13,-0.149,4.45,,1.5301,,
HD 30669,G5,,,,,,,,,,
HD 30669,G9 V,5400,0.91,0.92,0.13,,4.37,4.8,,1.7,
HD 30669,,,,,,,,,,1,
HD 30669,G8/K0 V,,,,,,,,,,
HD 307842,G,5558,0.91,0.91,-0.13,,4.48,,1.781,1.1,
HD 307842,,5849,0.9,,,,4.53,,,,
HD 307842,,5464,0.9,0.96,,-0.19,4.52,,1.8796,,
HD 30856,,4993.4,4.69,,,1.091,,,,,
HD 30856,,4943,4.15,1.31,0.12,1.1,3.38,3.89,,1.84,
HD 30856,,4971,4.73,1.65,-0.14,,3.31,,,,
HD 30856,,4895,5,,-0.03,,,,,,
HD 30856 B,,,,,,,,,,,
HD 30856,,4982,4.2,1.35,-0.06,0.996,3.4,3.8,,2.85,
HD 30856,,4973,,1.36,-0.14,,3.15,,,,
HD 30856,,4895,4.4,1.17,,,3.2,,,,
HD 30856,K0 III,,,,,,,,,,
HD 30856,G5,,,,,,,,,,
HD 31253,,,1.64,1.2,,,4.13,4.88,,,
HD 31253,F8,,,,,,,,,,
HD 31253,,6147,,1.23,0.17,,4.27,,,,
HD 31253,,,,,,,,,,3,
HD 31253,,6014.94,1.83,1.33,0.14,,4.03,,,,
HD 31253,,,,,,,,,,3.8,
HD 31253,,6130,1.75,1.7,0.17,,4.18,,,,
HD 31253,,,,,,,,,,,
HD 31253,,5960,1.71,1.23,0.16,0.517,4.1,3,,,
HD 31253,,,,,,,,,,,
HD 31253,,6026,1.83,1.12,0.18,0.602,3.96,,0.2557,,
HD 31253,,6024.67,1.84,,,0.603,,,,,
HD 31527,G0 V,,,,,,,,,,
HD 31527,G0,,,,,,,,,,
HD 31527,,5915,,,-0.17,,4.4,,,2.36,
HD 31527,G2 V,,,,,,,,,,
HD 31527,,5898,,0.96,-0.17,0.078,4.45,,,,
HD 31527,G2 V,5898,,0.96,-0.17,0.079,4.45,,,1.9,20.3
HD 31527,,5922,1.07,,,0.106,,,,,
HD 31527,,5909.59,1.08,1.07,-0.171,0.106,4.4,,1.2063,,
HD 31527,,,,,,,,,,1.1,
HD 31527,,,,,,,,,,4,
HD 3167,,5366,0.84,0.89,-0.01,,4.54,,,,
HD 3167,K0 V,,,,,,,,,,
HD 3167,,5292,0.88,,,-0.262,,,,,
HD 3167,,5438,0.83,,-0.1,,4.6,,,,
HD 3167,K0 V,5261,0.86,0.86,0.04,,4.47,,1.902,1.7,
HD 3167,,5261,0.88,0.84,0.04,,4.47,,1.73,,
HD 3167,,5284,0.88,0.91,,-0.263,4.51,,1.87,,
HD 3167,,5300,0.87,0.85,0.037,-0.27,4.47,10.2,1.8173,,
HD 3167,,,0.88,,,,,,,,
HD 3167,K0,,,,,,,,,,
HD 3167,,5286,0.83,0.88,0.03,,4.51,5,,1.8,23.52
HD 3167,,5261,0.88,0.84,0.04,,,7.8,,,
HD 3167,,,,,,,,,,2.8,
HD 3167,,5370,0.83,0.88,0,,4.52,,,2,
HD 3167,,5528,0.87,0.94,-0.02,,4.53,,,,
HD 32518,K1 III,4580,10.22,1.13,-0.15,,2.1,5.83,,1.2,
HD 32518,,4817.3,9.77,,,1.666,,,,,
HD 32518,,4661,10.8,,-0.1,,,,,,
HD 32518,K0,,,,,,,,,,
HD 32518,,4661,10.5,1.16,-0.1,,2.41,6.468,,,
HD 32963,,,1.01,1.01,,,4.45,4.84,,,
HD 32963,,,,,,,,,,1.2,
HD 32963,,5738,1.09,1.03,0.07,0.063,4.38,,1.1269,,
HD 32963,G5,,,,,,,,,,
HD 32963,,5746.67,1.09,,,0.064,,,,,
HD 32963,,,,,,,,,,,
HD 32963,G5 IV,5727,,1.03,0.11,,4.41,,,,
HD 32963,,,,,,,,,,,
HD 32963,,,,,,,,,,2,
HD 32963,,5706.08,1.11,0.98,0.075,,4.34,,,,
HD 32963,,5727,,0.94,0.11,,4.41,4.99,,,
HD 330075,,4924,,,-0.04,,4.03,,,0.1,
HD 330075,,4958,,,-0.05,,4.24,,,,
HD 330075,,5025,,0.69,0.03,-0.334,4.32,,,,
HD 330075,,,,,,,,13.8,,,
HD 330075,,4966.69,0.85,,,-0.405,,,,,
HD 330075,,5140,0.81,0.9,0.18,-0.391,4.38,1,,,
HD 330075,G5,,,,,,,,,,
HD 330075,K1,5017,,0.7,0.08,-0.33,4.22,6.2,,0.7,
HD 330075,,5000,0.84,0.47,0.05,,4.26,,,,
HD 330075,,4994.76,0.83,0.83,0.05,-0.409,4.51,,2.0168,,
HD 331093,,5496,1.11,0.96,,0.006,4.33,,0.9864,,
HD 331093,K0,5544,,1.03,0.17,,4.2,,,2.5,
HD 33142,,4978,4.45,1.41,,,3.4,,,,
HD 33142,,5039.34,4.14,,,0.998,,,,,
HD 33142,,5009,3.97,1.78,0,,3.49,,,,
HD 33142,G5,,,,,,,,,,
HD 33142,,4978,4.33,,0.09,,,,,,
HD 33142,,5049,,1.62,0.03,,3.34,,,,
HD 33142,,,,1.62,,,,,,,
HD 33142,K0 III,,,,,,,,,,
HD 33142,,5052,4.2,1.48,0.05,1.021,3.5,3,,2.97,
HD 33142,K0 III,5025.4,4.17,1.52,0.06,1,3.38,2.72,,2,
HD 33142,,5009,4.22,1.6,0,1.13,3.49,2.03,,1.61,
HD 332231,,6125,1.27,1.16,,0.311,4.29,,0.797,,
HD 332231,F8,6089,1.28,1.13,0.036,0.305,4.28,4.3,0.766,,
HD 332231,,6042.5,1.31,,,0.315,,,,,
HD 332231,,6128,1.27,1.16,0.043,0.308,4.3,2.9,0.7993,,
HD 332231,,6125,1.27,,,,4.29,,,,
HD 33283,,,1.76,1.35,,0.55,,3.5,,,
HD 33283,,6058,,1.33,0.34,,4.16,,,,
HD 33283,G5,,,,,,,,,,
HD 33283,,6022,1.7,1.29,0.36,0.58,4.21,3.23,,1.09,
HD 33283,G3/5 V,,,,,,,,,,
HD 33283,G3 V,5995,1.2,1.24,0.366,,4.21,,,3.2,
HD 33283,,6108,1.74,1.47,0.34,,4.12,,,,
HD 33283 B,,3124,0.21,0.17,,-2.44,5.05,,28.2818,,
HD 33283,G3/G5 V,5935,1.97,1.38,0.35,0.64,,3.63,,,
HD 33283,,5935,1.92,1.08,0.34,0.616,3.9,,0.2145,,
HD 33283,,,,,,,,,,4,
HD 33283,,5963.75,1.91,,,0.617,,,,,
HD 33564,,6396.33,1.51,,,0.535,,,,,
HD 33564,F6V,6394,1.51,1.37,,0.538,4.15,,,,
HD 33564,,,,,,,,,,13,
HD 33564,F6 V,6250,,1.25,-0.12,,4,3,,12,
HD 33564,,6409.65,1.47,1.29,0.161,0.517,4.21,,0.5717,,
HD 33564,,,,,,,,,,,
HD 33564,,6339,,,0,,4.13,,,,
HD 33564,,,,,,,,,,,
HD 33564,F7 V,6420,1.44,1.31,0.08,0.502,,2.2,,,
HD 33564,F8,,,,,,,,,,
HD 33564,F7 V,,,,,,,,,,
HD 33844,K0 III,,,,,,,,,,
HD 33844,G5,,,,,,,,,,
HD 33844,K0 III,4861,5.29,1.78,0.27,1.149,3.24,1.88,,1,
HD 33844,,4925,5.37,,,,,,,,
HD 33844,,4888.1,5.38,,,1.173,,,,,
HD 33844,,4861,5.39,1.84,0.27,,3.24,,,,
HD 33844,,,5.51,1.47,,1.183,3.12,,,,
HD 34445,G0,,,,,,,,,,
HD 34445,,5829.49,1.48,1.11,0.138,,4.15,,,,
HD 34445,,5797,1.46,1.04,0.11,0.339,4.12,,0.4672,,
HD 34445,,,1.38,1.07,,,4.2,8,,,
HD 34445,,5818,1.45,,,0.339,,,,,
HD 34445,,5879,1.38,1.14,0.18,,4.21,,,,
HD 34445,,,,,,,,,,,
HD 34445,G0 V,5836,1.38,1.07,0.14,0.303,4.21,8.5,,,22
HD 34445,,,,,,,,,,,
HD 34445,,,,,,,,,,2.7,
HD 34445,,5836,1.38,1.07,0.14,0.303,4.21,8.5,,,
HD 34445,,,,,,,,,,3,
HD 35759,,5927.67,1.76,,,0.537,,,,,
HD 35759,G0,6060,,1.15,0.04,,4.24,,,3.5,
HD 35759,G0,,,,,,,,,,
HD 35759,,,,,,,,,,3,
HD 35759,,5998,1.71,1.11,,0.534,4.02,,0.3113,,
HD 360,G8 III,4770,10.86,1.69,-0.06,1.742,2.59,,,1.86,
HD 360,,4741,11.38,,-0.07,,,,,,
HD 36384,,3989,43.57,,,,,,,,
HD 36384,M0 III,3940,38.4,1.14,-0.16,2.589,1.1,0.113,,4.5,440
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,5221,,0.8,,,4.45,,,,
HD 3651,,5274.92,0.87,0.9,0.145,-0.274,4.51,,1.9053,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,5252,0.85,0.9,0.19,-0.303,4.32,3,,,
HD 3651,,5205.95,0.87,0.89,0.168,,4.51,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,5249,,,0.19,,4.57,,,,
HD 3651,,,,,,,,,,1.1,
HD 3651,,5280,0.88,,,-0.267,,,,,
HD 3651,K0V,5221,0.88,0.88,0.16,-0.268,4.51,8.2,,,
HD 3651,,,,,,,,4.46,,,
HD 3651,,,,,,,,,,2,
HD 3651,K0 V,,,,,,,,,,
HD 3651,,,0.88,0.88,,,4.51,11.8,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,48
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,K0 V,5221,,0.88,0.24,,,,,1.1,
HD 3651,,5173,,0.76,0.12,,4.37,,,,
HD 3651,K0,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 3651,,,,,,,,,,,
HD 37124,,,,,,,,,,,
HD 37124,,5565,,0.76,-0.37,,4.62,,,,
HD 37124,G0,,,,,,,,,,
HD 37124,,,,,,,,,,,
HD 37124,,5604,0.93,0.99,-0.35,-0.111,4.49,,1.7131,,
HD 37124,,5676.75,0.91,,,-0.112,,,,,
HD 37124,G4 V,,,0.91,-0.42,,,,,,
HD 37124,G4 V,,,0.85,-0.44,,,,,,
HD 37124,,5698.64,0.95,0.81,-0.326,,4.39,,,,
HD 37124,,,,,,,,,,1.2,
HD 37124,,,,0.78,,,,,,,
HD 37124,,,,,,,,,,,
HD 37124,,5546,,0.75,-0.38,,4.5,,,,
HD 37124,G4 IV-V,,,0.78,-0.42,,,4,,,
HD 37124,,5492,1,0.75,-0.4,-0.091,4.4,13,,,
HD 37605,,5304,0.99,,,-0.152,,,,,
HD 37605,,5340,0.95,0.68,0.29,,4.32,,,,
HD 37605,,5405,0.86,1,0.31,-0.242,4.23,1,,,
HD 37605,K0 V,5448,0.9,1,0.336,-0.229,4.51,7,,1,
HD 37605,,5329,0.98,0.92,0.25,-0.154,4.42,,1.3679,,
HD 37605,K0,5329,0.91,0.94,0.27,-0.22,,5.65,,,
HD 37605,K0,,,,,,,,,,
HD 37605,,5475,,,0.39,,4.55,,,,
HD 37605,,,,1,,,,,,,
HD 3765,K0,,,,,,,,,,
HD 3765,K2.5 V,,,,,,,,,,
HD 3765,,,,,,,,,,,
HD 3765,,5049.8,0.83,0.85,0.172,,4.53,,,,
HD 3765,,,,,,,,,,,
HD 3765,,,,,,,,,,,
HD 3765,K2V,5032,0.79,0.85,0.18,-0.432,4.58,2,,,
HD 3765,,,,,,,,,,,
HD 3765,,5076.27,0.8,0.85,0.171,-0.416,4.56,,2.3356,,
HD 3765,,,,,,,,,,2,
HD 3765,,,,,,,,,,0,
HD 3765,,,0.79,0.85,,,4.58,2,,,
HD 38283,,,,,,,,,,4,
HD 38283,,5981,1.49,1.37,-0.18,,4.23,,,,
HD 38283,,5962,,,-0.15,,4.14,,,4.51,
HD 38283,F9.5 V,,,,,,,,,,
HD 38283,G0,,,,,,,,,,
HD 38283,,,,,,,,,,,
HD 38283,G0/1 V,,,,,,,,,,
HD 38283,,5983.57,1.49,1.1,-0.214,0.411,4.13,,0.4661,,
HD 38283,,,,,,,,,,3,
HD 38283,,,1.48,1.08,,,4.15,6.76,,,
HD 38283,,5998,,1.08,-0.12,,4.15,6.2,,3,
HD 38283,,6051,1.46,,,0.411,,,,,
HD 38283,,5980,,1.05,-0.14,,4.27,,,,
HD 38529 B,,3487,0.5,0.49,,-1.485,4.74,,5.7082,,
HD 38529,,5674,,1.6,0.4,,3.94,,,,
HD 38529,,,2.5,1.48,,,3.94,3.28,,,
HD 38529,,5624.21,2.86,1.53,0.377,,3.71,,,,
HD 38529,,,,,,,,,,3.9,
HD 38529,,,,,,,,,,,
HD 38529,,5674,,1.34,0.4,,3.94,,,,
HD 38529,,,,0.98,,,,,,,
HD 38529,,,,1.34,,,,,,,
HD 38529,G5,,,,,,,,,,
HD 38529,G4 IV,5370,2.82,1.39,0.29,,4.13,,,,
HD 38529,,5573,2.66,1.41,0.37,0.74,3.81,3.09,,1.63,
HD 38529,,5567,,,0.32,,3.81,,,,
HD 38529,G8 III/IV,,,,,,,,,,
HD 38529,,5586,2.81,,,0.84,,,,,
HD 38529,,5541,2.84,0.98,0.32,0.834,3.52,,0.0606,,
HD 38529,G4 IV,5697,,1.48,0.51,,,,,3.9,
HD 38529,,,,,,,,,,,
HD 38529,,5541,2.56,1.41,,,3.77,,,,
HD 38801,,5207,2.47,,0.28,,,,,,
HD 38801,K0,,,,,,,,,,
HD 38801,,5277,2.38,1.64,0.19,,3.9,,,,
HD 38801,K0,5207,2.41,1.29,0.32,0.58,,4.87,,,
HD 38801,,5277,2.14,1.19,0.19,0.68,3.9,5.45,,1.87,
HD 38801,,5222,2.53,1.36,0.26,0.659,3.84,4.67,,,
HD 38801,,5314,,1.22,0.25,,3.82,,,,
HD 38801,,5207,2.41,1.29,,,3.77,,,,
HD 38801,,5338,2.03,1.21,0.25,,3.88,6.072,,,47
HD 38801,,5251,2.43,,,0.606,,,,,
HD 38801,G8 IV,,,,,,,,,,
HD 39091,G1 V,,,,,,,,,,
HD 39091,,6037,1.11,1.15,0.08,0.164,4.42,1.5,,,
HD 39091,,6003,,1.1,0.09,0.168,4.42,,,,
HD 39091,,5960.5,1.17,,,0.195,,,,,
HD 39091,,5998,1.19,1.07,0.09,,,3.92,,3.34,
HD 39091,,,,,,,,,,3,
HD 39091,,,,,,,,,,3.1,
HD 39091,G0 V,,,,,,,,,,
HD 39091,,,,,,,,,,,
HD 39091,,5992.1,1.15,1.1,0.089,0.186,4.36,,1.0226,,
HD 39091,,5991,,1.1,0.1,,4.42,,,,
HD 39091,,,,1.09,,,,,,,
HD 39091,G1V,5950,1.18,1.07,0.05,0.215,4.35,5.44,,,
HD 39091,G5,,,,,,,,,,
HD 39091,,5870,1.1,1.02,0.05,,4.36,5.2,,3.3,
HD 39091,,5950,1.15,,,,4.44,,,,
HD 39091,G0 V,6037,1.1,1.09,0.08,0.16,4.42,2.98,1.148,3.14,
HD 39091,,,,1.1,0.09,,,,,,
HD 39091,,5991,,,0.14,,4.4,,,,
HD 39091,,,,1.1,,,,,,,
HD 39091,,5950,,1.1,0.048,,4.36,,,3.14,
HD 39091,,5995,,1.1,0.09,,4.48,,,,
HD 39194,G8 V,,,,,,,,,,
HD 39194,,5186.19,0.78,0.88,-0.627,-0.398,4.59,,2.5771,,
HD 39194,K0 V,,,,,,,,,,
HD 39194,G0,,,,,,,,,,
HD 39194,K0 V,5205,,0.67,-0.61,-0.409,4.53,10,,,
HD 39194,,5205,,0.59,-0.61,-0.44,4.53,,,,
HD 39194,,,,,,,,,,2,
HD 39194,G8V,5326,0.74,0.79,,-0.398,4.6,,,,
HD 39855,,5575.5,0.74,,,-0.316,,,,,
HD 39855,,5528,0.76,0.97,,-0.315,4.66,,3.1307,,
HD 39855,G6 V,,,,,,,,,,
HD 39855,G8 V Fe-0.7,,,,,,,,,,
HD 39855,G5,,,,,,,,,,
HD 39855,,,,,,,,,,3,
HD 39855,G6V,5510,0.79,0.85,,-0.284,4.63,,,,
HD 39855,G8 V,5576,,0.87,,,,,,,
HD 40307,,,,,,,,,,1.6,
HD 40307,,4805,,,-0.3,,4.37,,,,
HD 40307,K2.5 V,4956,,0.77,-0.31,-0.639,4.47,4.5,,1,
HD 40307,,,0.72,0.74,,,4.61,2.6,,,
HD 40307,K2.5 V,,,,,,,,,,
HD 40307,,,,,,,,,,3,
HD 40307,,4956,0.65,0.7,-0.35,-0.639,4.21,3,,,
HD 40307,G5,,,,,,,,,,
HD 40307,K3V,4827,0.72,0.74,-0.28,-0.569,4.61,2.6,,,
HD 40307,,4867.44,0.72,0.79,-0.323,-0.585,4.63,,3.0256,,
HD 40307,K3 V,,,,,,,,,,
HD 40307,,4893,0.71,,,-0.588,,,,,
HD 40307,,4977,,0.77,-0.31,-0.642,4.47,,,,
HD 40307,,4771,,,-0.42,,4.1,,,0.1,
HD 40307,,4923,,,-0.19,,4.97,,,,
HD 40307,K3 V,4977,,0.77,-0.31,,4.47,,,1.61,
HD 40956,K0,,,,,,,,,,
HD 40956,,5092,8.81,,,,,,,,
HD 40956,,4919.91,8.74,,,1.605,,,,,
HD 40956,,4869,8.56,2,0.14,1.664,3.02,1.35,,2.7,
HD 40956,K0,,,,,,,,,,
HD 40979 C,,,,,,,,,,,
HD 40979,,,,,,,,,,,
HD 40979,F8 V,6089,,1.15,0.15,,,,,7.4,
HD 40979,,6139,1.24,1.16,0.25,0.291,4.32,,0.8678,,
HD 40979,,6165,1.21,1.45,0.2,,4.43,,,,
HD 40979,,6145,,1.21,0.21,,4.31,,,,
HD 40979,,6241,,,0.18,,4.52,,,,
HD 40979,,6076.67,1.26,,,0.292,,,,,
HD 40979,,,,,,,,,,,
HD 40979,,,1.23,1.15,,,4.32,3.56,,,
HD 40979 B,,4741.74,0.82,0.76,0.121,-0.509,4.49,,1.9087,,
HD 40979,,,,,,,,,,7.4,
HD 40979,,,,,,,,,,7,
HD 40979,F8,,,,,,,,,,
HD 40979,,6149.73,1.24,1.23,0.203,,4.34,,,,
HD 41004 A,,,,,,,,,,,
HD 41004 B,M2 V,,,0.4,,,,,,,
HD 41004 A,,,,,,,,0.22,,,
HD 41004 B,,5036,1.04,0.84,,-0.202,4.33,,1.0486,,
HD 41004 A,,,,,,,,,,2,
HD 41004 A,K1/K2 V,5010,,0.7,-0.09,-0.187,4.42,1.6,,1.22,
HD 41004 B,M2 V,,,,,,,,,,
HD 41004 A,,5310,0.85,0.95,0.23,-0.293,4.37,1,,,
HD 41004 B,,,,,,,,,,,
HD 41004 A,,5185.43,1.06,,0.16,,,,,,
HD 4113,,,,,,,,,,2,
HD 4113 C,,,,,,,,,,,
HD 4113,G5,5688,,0.99,0.2,0.086,4.4,6.4,,1.37,
HD 4113,G5,,,,,,,,,,
HD 4113 B,,3619,0.53,0.53,,-1.356,4.71,,4.9144,,
HD 4113,,,,1.01,,,,,,,
HD 4113,,5646,1.09,1.05,0.19,0.035,4.22,5.5,,,
HD 4113,G5 V,,,,,,,,,,
HD 4113,,5655.45,1.08,1,0.235,0.035,4.37,,1.1044,,
HD 4113,,5675.5,1.08,,,0.036,,,,,
HD 42012,K0,,,,,,,,,,
HD 42012,K0,5405,0.82,0.83,-0.09,,4.45,4.1,,2.2,
HD 42012,,5379,0.84,0.93,,-0.273,4.56,,2.2014,,
HD 42012,,5342.5,0.86,,,-0.27,,,,,
HD 4203,,,,1.06,0.22,,,,,,
HD 4203,,,,,,,,,,1.2,
HD 4203,,5636,,1.06,0.4,,4.23,,,,
HD 4203,,5728,,,0.53,,4.23,,,,
HD 4203,,5625.06,1.5,1.14,0.38,,4.15,,,,
HD 4203,,5596,1.42,1.25,0.4,,4.23,,,,
HD 4203,,5582,1.5,0.99,0.34,0.293,4.08,,0.4152,,
HD 4203,,5702,,1.13,0.453,,4.36,,,1.23,
HD 4203,,,,,,,,,,,
HD 4203,,5644,1.33,1.15,0.43,0.206,4.11,5,,,
HD 4203,,5502,1.55,,,0.298,,,,,
HD 4203,,,,1.13,,,,,,,
HD 4203,,,1.2,1.13,,,4.32,8.52,,,
HD 4203,,,,,,,,,,,
HD 4203,,5650,,0.93,0.4,,4.38,,,,
HD 4203,G5,,,,,,,,,,
HD 4208,,,,,,,,,,0,
HD 4208,,,,,,,,,,,
HD 4208,,,,0.93,-0.24,,,,,,
HD 4208,,5600,,0.87,-0.284,,4.52,,,,
HD 4208,,5626,,0.86,-0.24,,4.49,,,,
HD 4208,,5669.81,0.94,0.85,-0.22,,4.42,,,,
HD 4208,,5599,,0.83,-0.28,-0.147,4.44,,,,
HD 4208,,,,,,,,,,,
HD 4208,,5629,0.92,0.9,-0.26,,4.46,,,,
HD 4208,G5 V,,,,,,,,,,
HD 4208,G0,,,,,,,,,,
HD 4208,G7 V Fe-1 CH-0.5,,,,,,,,,,
HD 4208,,5600,,,-0.32,,4.41,,,,
HD 4208,,5639,0.93,1,-0.26,-0.1,4.5,,1.7337,,
HD 4208,,5644,0.93,,,-0.1,,,,,
HD 4208,,5625,,0.86,-0.23,,4.54,,,,
HD 4208,,,,,,,,,,,
HD 4208,,5638,0.85,0.9,-0.28,-0.188,4.39,6,,,
HD 4208,,,,,,,,,,3,
HD 4208,,5717,0.85,0.88,-0.28,,4.5,3.813,,,25
HD 42618,,5830,0.95,,,-0.03,,,,,
HD 42618,,5755,0.97,1.03,-0.11,-0.028,4.47,,1.5733,,
HD 42618,,,,,,,,,,,
HD 42618,,5716.65,0.99,0.92,-0.086,,4.41,,,,
HD 42618,G4 V,5727,1,1.01,-0.09,-0.009,4.44,,,2,
HD 42618,,,0.95,0.97,,,4.49,3.72,,,
HD 42618,,,,,,,,,,4,
HD 42618,,,,,,,,,,2.1,
HD 42618,G0,,,,,,,,,,
HD 42618,,,,,,,,,,,
HD 42618,G4V,5747,0.95,0.97,-0.11,-0.046,4.49,3.72,,,
HD 42618,G3 V,,,,,,,,,,
HD 42813,,5240,0.97,0.94,0.33,,,9.1,,,
HD 42813,,6114,1.01,,,,4.51,,,,
HD 42813,,5283,1.01,0.91,,-0.149,4.39,,1.2628,,
HD 42813,,5323,0.98,0.95,0.332,-0.154,4.42,8.6,1.3866,,
HD 42813,,5289,0.98,0.9,0.24,,4.39,11.2,,,
HD 42813,,5289,0.98,0.89,0.24,-0.155,4.39,11.7,1.4239,1.94,40
HD 4308,G5V,5695,1.02,0.93,-0.31,0.029,4.41,8.68,,,
HD 4308,,5644,,0.8,-0.34,-0.009,4.38,,,,
HD 4308,,,,,,,,,,,
HD 4308,,,1.02,0.93,,,4.41,8.68,,,
HD 4308,,5752.75,1.02,,,0.01,,,,,
HD 4308,,,,,,,,,,0.2,
HD 4308,,5685,,0.83,-0.31,-0.004,4.49,4.3,,1.2,
HD 4308,,5686,1.02,0.93,-0.35,,4.39,,,,
HD 4308,,,,,,,,,,3,
HD 4308,G5,,,,,,,,,,
HD 4308,G5 V,,,,,,,,,,
HD 4308,,5672.42,1.05,1.01,-0.323,0.01,4.4,,1.2394,,
HD 4308,,,,,,,,15,,,
HD 4308,,5619,,,-0.35,,4.36,,,,
HD 4308,G6 V Fe-0.9,,,,,,,,,,
HD 4308,,5768,0.98,0.9,-0.31,-0.017,4.52,9.5,,,
HD 4313,,4943,5.14,1.63,,,3.24,,,,
HD 4313,,4966,,1.53,0.05,,3.36,,,,
HD 4313,,5035,4.9,1.72,0.14,1.149,3.4,2,,,
HD 4313,,5005,4.38,1.71,0.11,1.14,3.45,1.72,,1.91,
HD 4313,,5005,4.91,2.47,0.11,,3.45,,,,
HD 4313,G5,,,,,,,,,,
HD 4313,,4943,5.34,,0.14,,,,,,
HD 4313,,4966.5,5.14,,,1.161,,,,,
HD 43197,,5478.64,1.07,0.96,0.36,-0.036,4.37,,1.1196,,
HD 43197,,5476.75,1.07,,,-0.034,,,,,
HD 43197,G8/K0 IV/V,,,,,,,,,,
HD 43197,,,,0.96,,,,,,,
HD 43197,G5,,,,,,,,,,
HD 43197,G8 V,5508,1,0.96,0.4,-0.137,4.31,,,2.18,
HD 43691 B,,,,,,,,,,,
HD 43691,,,,,,,,,,5,
HD 43691,,6118.33,1.72,,,0.574,,,,,
HD 43691 C,,,,,,,,,,,
HD 43691,G0,6093,1.6,1.32,0.33,0.5,,2.39,,,
HD 43691,G0,,,,,,,,,,
HD 43691,G0 IV,6200,,1.38,0.28,,4.28,2.8,,4.7,
HD 43691,,6093,1.73,1.14,0.3,0.572,4.02,,0.3087,,
HD 44219,,5767.81,1.43,1.03,0.04,0.307,4.14,,0.5006,,
HD 44219,G3 V,,,,,,,,,,
HD 44219,G2 V,5752,1.32,1,0.03,0.26,4.21,,,2.22,
HD 44219,,5762.75,1.43,,,0.309,,,,,
HD 44219,,,,,,,,,,2,
HD 44219,G5,,,,,,,,,,
HD 44219,G3 V,,,1.2,,,,8.4,,2.2,
HD 45184,,,1.08,1.01,,,4.38,6.8,,,
HD 45184,,,,,,,,,,,
HD 45184,,,,,,,,,,2.5,
HD 45184,G1.5 V,5869,,1.03,0.04,0.053,4.47,,,2.1,21.5
HD 45184,G1.5 V,,,,,,,,,,
HD 45184,,5862,1.05,,,0.071,,,,,
HD 45184,,5854,1.05,1.06,0.05,0.069,4.42,,1.2822,,
HD 45184,G0,,,,,,,,,,
HD 45184,,,,,,,,,,,
HD 45184,,5869,,1.03,0.04,0.054,4.47,,,,
HD 45184,,5840,,,0.03,,4.44,,,,
HD 45184,,,,,,,,,,,
HD 45184,,5820.13,1.08,1.01,0.042,,4.38,,,,
HD 45184,G2 V,,,,,,,,,,
HD 45184,,,,,,,,,,2,
HD 45184,G2V,5810,1.08,1.01,0.04,0.083,4.38,6.8,,,
HD 45350,,,,,,,,,,1.4,
HD 45350,G5 V,5616,,1.02,0.29,,4.32,8,,,
HD 45350,,5593.67,1.25,,,0.141,,,,,
HD 45350,,5607.78,1.26,1.05,0.292,,4.26,,,,
HD 45350,,,1.23,1.05,,,4.27,11.36,,,
HD 45350,,,,1.02,0.19,,,,,,
HD 45350,,,,,,,,,,3,
HD 45350,,,,,,,,,,,
HD 45350,G5,,,,,,,,,,
HD 45350,,5650,,1.01,0.28,,4.29,8.22,,,
HD 45350,,,,,,,,,,,
HD 45350,,5566,1.26,0.98,0.23,0.141,4.23,,0.6835,,
HD 45364,,5435.58,0.9,0.95,-0.175,-0.196,4.51,,1.8364,,
HD 45364,,5466,0.89,,,-0.196,,,,,
HD 45364,K0 V,5466,0.89,0.82,,-0.196,,,,,
HD 45364,G8 V,,,,,,,,,,
HD 45364,G0,,,,,,,,,,
HD 45364,,,,,,,,,,,
HD 45364,,,,,,,,,,2,
HD 45364,K0 V,,,,,,,,,,
HD 45364,K0 V,5434,,0.82,-0.17,-0.244,4.38,,,1,32
HD 45364,,5434,,0.82,-0.17,-0.254,4.38,,,,
